01.08.2024	15:08:41	15:08:51	15:09:01	15:09:11	15:09:21	15:09:31	15:09:41	15:09:51	15:10:01	15:10:11	15:10:21	15:10:31
LuQY (%)	0.0043	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005
iVoc (V)	1.2154	1.3778	1.3834	1.3728	1.3823	1.6474	1.6517	1.6490	1.6515	1.6526	1.6479	1.6517
iVoc confidence	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Laser Intensity (suns)	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Bias voltage (V)	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
SMU current density (mA/cm2)	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Integration Time (ms)	500.0000	500.0000	500.0000	500.0000	500.0000	500.0000	500.0000	500.0000	500.0000	500.0000	500.0000	500.0000
Delay Time (s)	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000
Bandgap (eV) 	2.0264	2.0367	2.0264	2.0367	2.3205	2.3272	2.3238	2.3272	2.3272	2.3205	2.3272	2.3238
Jsc (mA/cmｲ)	11.5602	11.3749	11.5602	11.3749	6.9746	6.9113	6.9424	6.9113	6.9113	6.9746	6.9113	6.9424
EQE @ laser wavelength	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000
Laser spot size (cmｲ)	0.1400	0.1400	0.1400	0.1400	0.1400	0.1400	0.1400	0.1400	0.1400	0.1400	0.1400	0.1400
Subcell area (cmｲ)	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Subcell												
--	--	--	--	--	--	--	--	--	--	--	--	
												
Wavelength (nm)	Raw Spectrum (counts)											
												
396.0	-3.6	-1.6	0.4	-1.6	-3.6	-3.6	-3.6	-7.6	-9.6	-1.6	-3.6	-5.6
396.8	-5.9	2.1	-1.2	0.8	-2.5	-0.5	-0.5	-2.5	-5.2	-3.2	1.5	0.1
397.6	-4.5	2.8	-3.2	-1.2	-4.5	1.5	-1.2	0.1	-1.9	-2.5	2.1	0.8
398.4	0.9	2.9	-3.1	-1.1	-2.4	0.3	0.3	-1.1	-4.4	0.9	1.6	0.9
399.1	3.3	1.3	-3.3	-1.3	0.0	2.0	1.3	-0.7	-2.7	5.3	-1.3	-1.3
399.9	1.3	0.7	0.7	-2.0	4.0	-0.7	6.7	-1.3	-2.0	4.7	-3.3	0.7
400.7	-2.3	0.4	3.7	-3.6	4.4	1.7	5.1	2.4	1.7	3.7	-1.6	1.7
401.5	-0.9	-0.9	4.4	-2.9	2.4	0.4	1.7	0.4	1.1	2.4	2.4	1.1
402.3	1.1	2.4	5.1	2.4	4.4	5.7	-0.9	3.7	0.4	2.4	5.7	-0.9
403.1	3.3	4.7	3.3	2.0	-0.7	4.7	0.0	2.7	3.3	-0.7	6.7	-3.3
403.9	-2.7	10.0	2.0	-0.7	-1.3	4.7	3.3	3.3	4.0	-2.0	0.0	0.7
404.7	-2.5	4.1	-2.5	-3.9	-1.9	5.5	-0.5	1.5	5.5	-0.5	-0.5	0.1
405.5	-3.9	4.1	-1.9	0.1	0.8	5.5	-0.5	-0.5	0.8	0.8	-3.2	2.8
406.3	0.8	2.8	0.1	2.1	2.1	5.5	-1.2	-2.5	0.1	1.5	-1.2	0.8
407.1	0.0	5.3	3.3	2.0	-3.3	1.3	2.0	-3.3	-3.3	-2.7	-3.3	4.0
407.9	-0.1	3.9	4.5	0.5	-4.8	-2.1	1.2	-1.5	-4.1	-2.8	-3.5	1.9
408.7	-1.2	3.5	2.1	1.5	-4.5	0.1	2.8	4.1	-4.5	-4.5	-5.2	5.5
409.5	-1.6	1.7	-2.3	0.4	-2.9	-2.3	1.7	3.1	-4.3	-0.9	-2.9	3.1
410.2	-3.2	2.1	-5.2	-2.5	2.1	0.1	1.5	2.8	-1.9	4.1	-2.5	4.1
411.0	-3.5	0.5	-6.1	-3.5	1.2	0.5	1.2	1.2	1.9	7.9	1.2	4.5
411.8	0.4	3.7	-2.9	0.4	5.7	2.4	5.1	3.1	4.4	9.1	1.7	8.4
412.6	2.0	2.7	-0.7	4.0	7.3	1.3	4.7	3.3	4.7	7.3	3.3	7.3
413.4	2.8	0.1	0.8	0.1	7.5	-3.2	3.5	0.8	2.8	4.1	2.8	2.1
414.2	2.1	-3.9	0.1	-0.5	3.5	-4.5	0.8	-0.5	2.1	4.1	1.5	-3.9
415.0	4.9	-5.1	-3.1	2.3	0.3	-7.1	4.3	-3.7	3.6	1.6	1.6	-6.4
415.8	6.7	-2.0	-0.7	4.0	-1.3	-5.3	3.3	-3.3	3.3	2.7	0.0	-6.0
416.6	0.4	-1.6	-1.6	3.7	-2.9	-6.3	0.4	-4.9	0.4	1.7	1.1	-2.9
417.4	-0.8	1.2	1.9	-0.8	-2.8	-0.1	0.5	1.9	3.2	3.2	-2.1	3.2
418.2	-5.3	1.3	2.0	0.7	0.7	0.7	2.0	4.0	6.7	4.0	3.3	2.7
419.0	-3.1	5.6	8.3	6.3	5.6	2.9	6.9	6.9	9.6	3.6	8.3	1.6
419.7	-3.3	0.7	4.7	4.0	5.3	0.7	4.0	5.3	7.3	4.7	8.7	0.0
420.5	-2.4	0.9	2.3	0.9	6.3	0.9	1.6	4.3	1.6	3.6	6.9	2.9
421.3	-0.7	-1.3	-3.3	-6.7	2.0	0.0	1.3	3.3	-0.7	3.3	0.0	4.0
422.1	-1.1	0.9	-0.4	-5.7	-1.1	-2.4	-1.1	2.3	-2.4	-1.7	4.3	-0.4
